'liao'jie 了解
'wei'zhong 为重
'zhang'xiang 长相
'fu'zhuo 附着
'tan'li 弹力
'zhang'sun 长孙
'yue'tan 乐坛
'tiao'liao 调料
'shei'jiu 谁就
'shen'zhuo 身着
'hang'hang 行行
'zhang'guan 长官
'hen'zhong 很重
'tuan'zhang 团长
'shang'sha 商厦
'ke'wu 可恶
'wai'zhang 外长
'dei'kuai 得快
'man'yuan 埋怨
'yun'dou 熨斗
'chen'zhuo 沉着
'zhen'zhong 珍重
'tiao'jiao 调教
'cha'na 刹那
'zhang'shi 长势
'geng'zhong 更重
'gui'zhong 贵重
'pian'zhong 偏重
'zhang'chu 长出
'zong'dei 总得
'zi'zhuan 自传
'bao'zang 宝藏
'zu'se 阻塞
'yue'qu 乐曲
'chen'zhi 称职
'shei'bu 谁不
'zhong'jin 重金
'yao'shi 钥匙
'guo'zhong 过重
'cen'ci 参差
'zhang'lao 长老
'huan'wo 还我
'cao'shuai 草率
'bi'lu 秘鲁
'yue'zhang 乐章
'huan'qing 还清
'xiong'zhang 兄长
'zhuo'se 着色
'fei'dei 非得
'dei'yao 得要
'shou'zhang 首长
'pang'huang 彷徨
'quan'zhong 权重
'ni'dei 你得
'zhuo'lu 着陆
'tu'xie 吐血
'ai'yue 哀乐
'ta'dei 他得
'guan'zhang 馆长
'tiao'di 调低
'zhong'bang 重磅
'liao'de 了得
'liao'que 了却
'ji'zhui 脊椎
'zhong'chuang 重创
'mei'hang 每行
'sheng'yue 声乐
'peng'tiao 烹调
'fa'mo 罚没
'zhong'bing 重病
'zhong'yong 重用
'xiang'chen 相称
'hang'ju 行距
'zhong'fu 重负
'dui'zhi 对峙
'bo'xue 剥削
'can'zhong 惨重
'guan'qia 关卡
'shei'gan 谁敢
'zhang'zi 长子
'zhuang'zhong 庄重
'zi'zhong 自重
'pei'jue 配角
'zhang'bei 长辈
'wei'tiao 微调
'zhuo'luo 着落
'zhong'zhen 重镇
'zhang'man 长满
'zhong'dan 重担
'zai'hang 在行
'jue'jiang 倔强
'tai'zhong 太重
'fa'qia 发卡
'ta'lia 他俩
'chen'xin 称心
'chan'za 掺杂
'kong'he 恐吓
'zhong'hang 中行
'zhao'xi 朝夕
'bu'huan 不还
'xian'xi 纤细
'sheng'huan 生还
'meng'de 猛地
'chao'zhong 超重
'wai'hang 外行
'dei'ren 得人
'nuan'huo 暖和
'geng'ye 哽咽
'zhao'huo 着火
'bao'za 包扎
'pei'yue 配乐
'gai'hang 该行
'xiang'bin 香槟
'dong'tan 动弹
'tan'shuai 坦率
'jiao'zhun 校准
'mo'luo 没落
'nian'zhang 年长
'cun'zhang 村长
'zhao'mi 着迷
'zhong'liao 终了
'hang'hui 行会
'pang'bo 磅礴
'hang'dang 行当
'he'shei 和谁
'chuan'zhang 船长
'lia'ren 俩人
'wei'liao 未了
'bao'zhong 保重
'huan'zhai 还债
'guang'sha 广厦
'juan'yang 圈养
'bi'se 闭塞
'zhao'shei 找谁
'shuai'xian 率先
'wo'lia 我俩
'bi'se 鼻塞
'geng'se 梗塞
'ning'zhong 凝重
'xue'zhang 学长
'jing'lv 劲旅
'zhuan'hang 转行
'bao'sha 薄纱
'zhong'tuo 重托
'bi'yi 裨益
'qia'zhu 卡住
'yun'chen 匀称
'jin'zhao 今朝
'huan'qian 还钱
'ni'nan 呢喃
'nei'hang 内行
'qi'qiao 蹊跷
'jiao'hang 交行
'xue'tou 噱头
'bu'zhong 不重
'hang'gui 行规
'hai'shen 海参
'du'cheng 都城
'xiang'zhang 乡长
'yue'pu 乐谱
'huan'ji 还击
'tan'tiao 弹跳
'tai'zhang 台长
'zhe'hang 这行
'tiao'shi 调试
'shuai'dui 率队
'ze'she 咋舌
'lou'lian 露脸
'huan'shou 还手
'ji'zan 积攒
'zheng'zhuan 正传
'wei'jie 慰藉
'pang'guang 膀胱
'jie'geng 桔梗
'lie'zhuan 列传
'ben'zhong 笨重
'liao'duan 了断
'zhi'shuai 直率
'zi'zhang 滋长
'liao'ran 了然
'zang'ao 藏獒
'huan'ben 还本
'tan'zou 弹奏
'pai'zhang 排长
'tiao'yang 调养
'tun'mo 吞没
'mai'mo 埋没
'zhang'jin 长进
'tang'se 搪塞
'bao'pian 薄片
'qian'du 迁都
'qing'shuai 轻率
'jun'zhang 军长
'shuai'zhen 率真
'qiu'zhang 酋长
'zan'qian 攒钱
'jie'za 结扎
'zhe'dei 这得
'kong'tong 崆峒
'lian'zhang 连长
'ma'bu 抹布
'yue'mi 乐迷
'kui'lei 傀儡
'di'qiao 地壳
'mo'liao 末了
'ji'hang 几行
'jing'feng 劲风
'ying'zhang 营长
'ben'hang 本行
'zan'lia 咱俩
'qia'zai 卡在
'mo'ru 没入
'mao'zhong 毛重
'kun'za 捆扎
'xian'yue 弦乐
'fa'huan 发还
'pu'shai 曝晒
'hang'shu 行数
'ka'cha 咔嚓
'chai'shi 差事
'jing'zhang 警长
'ru'hang 入行
'cheng'man 盛满
'long'tang 弄堂
'xie'chi 挟持
'gong'chai 公差
'zhu'juan 猪圈
'ding'du 定都
'tiao'hao 调好
'ni'lia 你俩
'gu'cha 古刹
'jun'lie 龟裂
'ren'shen 人参
'dao'heng 道行
'shou'xue 瘦削
'bo'geng 脖颈
'qu'qiao 躯壳
'hen'bao 很薄
'hang'jian 行间
'lu'lin 绿林
'xue'po 血泊
'yun'tang 熨烫
'shu'zhang 署长
'shuai'xing 率性
'tan'he 弹劾
'xiao'zhuan 小传
'tiao'pi 调皮
'xing'du 行都
'ge'lia 哥俩
'yue'shou 乐手
'tiao'xiao 调笑
'tan'chang 弹唱
'yu'se 语塞
'xian'qiao 纤巧
'yue'gan 乐感
'teng'wan 藤蔓
'xu'chan 畜产
'pei'ji 配给
'tiao'yun 调匀
'lv'zhang 旅长
'tiao'kan 调侃
'zeng'sun 曾孙
'zhi'niu 执拗
'chan'huo 掺和
'you'chai 邮差
'tiao'ting 调停
'tiao'xie 调谐
'shuai'zhi 率直
'na'shei 那谁
'yin'mo 隐没
'she'qia 设卡
'lou'tou 露头
'guo'fu 果脯
'tiao'qing 调情
'zhang'de 长得
'zhao'ya 爪牙
'zhang'nv 长女
'lou'xian 露馅
'tuo'qiao 脱壳
'lan'jiao 懒觉
'mo'zhao 魔爪
'shuai'bu 率部
'qin'chai 钦差
'zhuan'lue 传略
'zang'wen 藏文
'tan'she 弹射
'li'long 里弄
'jiao'chai 交差
'yong'shei 用谁
'tiao'su 调速
'shao'zhao 烧着
'lei'jin 勒紧
'shei'geng 谁更
'suo'na 唢呐
'zhang'pang 长胖
'song'huan 送还
'ji'yu 给予
'ne'zha 哪吒
'nei'zhuan 内传
'jing'she 劲射
'kua'hang 跨行
'ba'kai 扒开
'yong'se 拥塞
'qia'zi 卡子
'ce'duo 测度
'chou'jue 丑角
'guan'yue 管乐
'xian'ruo 纤弱
'chai'ren 差人
'lian'hang 联行
'zhao'mo 着魔
'gang'jing 刚劲
'shei'chu 谁出
'li'zhao 利爪
'ge'bei 胳臂
'zeng'wu 憎恶
'hang'hua 行话
'pian'zhou 扁舟
'huan'li 还礼
'chong'se 充塞
'yue'wu 乐舞
'hang'li 行里
'ku'chai 苦差
'zhong'chui 重锤
'luan'tan 乱弹
'tong'xiu 铜臭
'kong'hang 空行
'qia'ke 卡壳
'ming'jue 名角
'lie'qie 趔趄
'zhang'ya 长牙
'huan'shu 还书
'hang'hao 行号
'xin'chai 信差
'zhang'rou 长肉
'huan'kou 还口
'qi'qiang 砌墙
'xin'zhuan 新传
'jin'mo 浸没
'feng'huan 奉还
'xing'qin 省亲
'shei'xin 谁信
'chan'shui 掺水
'huan'su 还俗
'ba'pi 扒皮
'huan'jia 还价
'zhang'xiong 长兄
'dang'chai 当差
'zhao'xia 朝霞
'yang'juan 羊圈
'bang'za 绑扎
'chan'le 掺了
'bie'zhuan 别传
'zhuo'bi 着笔
'dei'kong 得空
'yun'ping 熨平
'tiao'geng 调羹
'tao'shai 套色
'chuai'duo 揣度
'xiao'zeng 小曾
'ruan'huo 软和
'ju'gu 巨贾
'mo'ding 没顶
'zeng'zu 曾祖
'niao'nuo 袅娜
'zha'hu 咋呼
'hong'shen 红参
'jiao'kan 校勘
'pu'qi 铺砌
'zhao'mang 着忙
'cai'duo 猜度
'shao'qia 哨卡
'cheng'fan 盛饭
'gui'xiang 归降
'lou'fu 露富
'yun'jie 蕴藉
'lao'zhen 落枕
'jiao'ding 校订
'zhui'gu 椎骨
'shi'de 似的
'shen'zhong 深重
'bao'bei 薄被
'cheng'du 成都
'di'jie 的姐
'da'di 打的
'di'shi 的士
'dao'zhang 道长
'hao'wu 好恶
'huan'zui 还嘴
'gong'ji 供给
'jiao'yan 校验
'ren'hang 人行
'lou'di 露底
'lou'chou 露丑
'liang'hang 两行
'lou'chu 露出
'pao'chu 刨除
'si'ji 伺机
'tiao'dao 调到
'yi'zhong 倚重
'mian'di 面的
'ju'zhong 举重
'guang'xian 光纤
'zhi'zhuo 执着
'di'fang 提防
'tou'xiang 投降
'zhuan'ji 传记
'zhong'ren 重任
'zhong'xin 重心
'sheng'zhang 省长
'tiao'li 调理
'shi'zhang 师长
'wen'zhong 稳重
'chen'mo 沉没
'ju'jue 咀嚼
'jing'du 京都
'gu'du 古都
'tu'bo 吐蕃
'tiao'jie 调解
'jing'di 劲敌
'zhao'le 着了
'huan'dai 还贷
'zhong'xing 重型
'si'liao 私了
'xue'jia 雪茄
'mu'ban 模版
'bao'de 薄的
'yi'zhao 一朝
'zui'zhong 最重
'chu'mo 出没
'ni'chang 霓裳
'gai'hang 改行
'xian'xian 纤纤
'zhi'liao 知了
'tan'qin 弹琴
'zhong'di 重地
'zang'du 藏独
'yao'xie 要挟
'you'shui 游说
'bu'ji 补给
'yao'huan 要还
'zi'zi 吱吱
'zhang'cheng 长成
'zu'zhang 族长
'liao'jie 了结
'dui'qi 堆砌
'yi'xiu 一宿
'shi'jin 什锦
'zhong'jiang 重奖
'zhong'bing 重兵
'bing'zhong 病重
'yi'zhang 议长
'fu'zhong 负重
'fu'bi 复辟
'zhong'le 重了
'zhong'fa 重罚
'yi'jiao 一觉
'zhong'jian 重剑
'chan'yu 单于
'ji'zhang 机长
'zhong'li 重力
'wu'ye 呜咽
'zhong'ya 重压
'zhong'du 重度
'zhu'zhang 助长
'du'du 都督
'zhong'chen 重臣
'jiao'huo 搅和
'zhang'zhe 长者
'kou'jue 口角
'shang'gu 商贾
'bing'xi 屏息
'qing'jia 亲家
'qi'zhong 器重
'di'lu 的卢
'jiao'zhuo 胶着
'zhong'shang 重赏
'chan'jia 掺假
'bao'pi 剥皮
'huang'dan 黄疸
'zhong'wu 重物
'shi'zhong 失重
'ting'zhang 庭长
'yan'mo 湮没
'tiao'ji 调级
'zhong'ji 重击
'qi'yue 器乐
'shai'zi 色子
'huan'xiang 还乡
'xiang'long 降龙
'wan'er 莞尔
'zai'zhong 载重
'qi'cheng 砌成
'zhao'liang 着凉
'jian'zhang 舰长
'wu'jiao 午觉
'xing'xiu 星宿
'zi'sheng 吱声
'hang'dao 巷道
'yan'hong 殷红
'mu'zi 模子
'tong'shuai 统率
'jian'du 建都
'bao'bao 薄薄
'zhong'he 重荷
'xiang'fu 降服
'zhong'xing 重刑
'zi'zhong 辎重
'tan'qi 弹起
'yu'jia 瑜伽
'cheng'zhong 承重
'ba'la 扒拉
'jiao'huan 交还
'ya'si 轧死
'yue'shi 乐师
'jing'zhong 净重
'ji'yang 给养
'feng'zhao 凤爪
'xiang'fu 降伏
'jian'zhang 渐长
'yang'hang 洋行
'qian'zhao 前爪
'zhuo'yi 着意
'hou'zhuan 后传
'zhao'lu 朝露
'nv'gong 女红
'you'dei 又得
'shui'qia 税卡
'huan'yuan 还愿
'dong'hang 懂行
'xian'chang 纤长
'gu'yue 鼓乐
'huan'ta 还他
'zheng'zhao 正着
'zhong'dian 重典
'xue'fa 削发
'jie'wen 诘问
'qing'ya 倾轧
'yue'fu 乐府
'lei'si 勒死
'feng'shan 封禅
'chai'qian 差遣
'quan'xiang 劝降
'gong'liao 公了
'zhong'cai 重彩
'jun'yue 军乐
'tiao'xia 调下
'dong'he 恫吓
'zhao'yin 爪印
'shan'rang 禅让
'xiang'mo 降魔
'chai'shi 差使
'ping'tan 评弹
'ji'shu 奇数
'xiao'zhang 消长
'jing'ge 劲歌
'wei'he 威吓
'bi'qi 荸荠
'gu'zhang 股长
'zha'lan 栅栏
'bu'zhao 不着
'wei'zhong 危重
'tiao'fu 调幅
'zhuo'mo 着墨
'e'nuo 婀娜
'guan'chai 官差
'zhong'shui 重税
'qiu'jing 遒劲
'zhang'you 长幼
'zhao'xiang 招降
'jiao'chang 校场
'shu'bai 叔伯
'xian'hao 纤毫
'zou'yue 奏乐
'cong'zhong 从重
'lou'qie 露怯
'da'jiao 大觉
'chi'zhong 持重
'he'zi 赫兹
'ba'guang 扒光
'zhong'ze 重责
'da'du 大都
'ban'xiu 半宿
'zhong'yin 重音
'bao'zhi 薄纸
'e'yu 阿谀
'ying'zhao 鹰爪
'zhong'huo 重活
'tan'tan 弹弹
'mei'chai 美差
'zha'xiang 诈降
'tao'huan 讨还
'xiang'jiang 降将
'tao'rao 叨扰
're'shei 惹谁
'yu'qing 吁请
'zhong'li 重礼
'mei'huan 没还
'ba'xia 扒下
'zhang'wo 长我
'hu'zhao 虎爪
'bing'qi 屏气
'suo'wu 所恶
'jia'qiao 甲壳
'xue'jia 削价
'ru'mo 辱没
'dan'jue 旦角
'tian'se 填塞
'mao'ni 毛呢
'ba'diao 扒掉
'zhang'yan 长眼
'lao'piao 老朴
'zui'zhang 最长
'qia'si 卡死
'zhuang'zhi 戆直
'xie'shu 解数
'liao'zhang 了账
'tiao'zhi 调治
'shi'zhao 失着
'zun'zhang 尊长
'zhai'cai 择菜
'zhong'li 重利
'zhong'xie 重谢
'she'ben 折本
'mo'ye 莫邪
'gai'zhao 该着
'hao'jiao 好觉
'yu'se 淤塞
'zuo'zhuan 左传
'guo'le 掴了
'cun'duo 忖度
'tui'zhong 推重
'shou'zhong 手重
'tiao'xiu 调休
'qi'shou 稽首
'suo'yue 锁钥
'huan'ta 还她
'tiao'da 调大
'fan'jie 反诘
'bian'jiao 编校
'huan'zhang 还账
'xie'zhi 挟制
'xian'rou 纤柔
'ma'lian 抹脸
'huan'yang 还阳
'tan'ya 弹压
'xian'xiu 纤秀
'jiao'zhao 脚爪
'jie'nan 诘难
'you'ye 幽咽
'jiao'zhu 校注
'yan'zhong 言重
'hang'shi 行市
'zang'bao 藏胞
'guo'xie 裹挟
'hu'le 和了
'bao'bing 薄冰
'hang'wu 行伍
'tiao'wei 调味
'zhao'huang 着慌
'shui'ke 说客
'ge'hang 隔行
'zan'zu 攒足
'tiao'xiao 调小
'yong'se 壅塞
'xing'cha 省察
'you'xiang 诱降
'ta'ben 拓本
'xian'xiao 纤小
'zhang'biao 长膘
'zhou'zhang 州长
'zhang'chuang 长疮
'zeng'gong 曾巩
'zhong'di 中的
'tan'ci 弹词
'zhong'xiao 重孝
'za'lao 扎牢
'o'ye 哦嘢
'jie'ze 诘责
'zhi'za 纸扎
'de'shuo 地说
'zi'mu 字模
'yang'shen 洋参
'dian'zhao 点着
'chao'mo 抄没
'fei'du 废都
'cu'shuai 粗率
'sui'pao 尿泡
'suo'huan 索还
'jiao'yue 校阅
'bao'cha 宝刹
'se'ze 塞责
'tiao'zhi 调制
'xiong'jing 雄劲
'wo'dei 我得
'xu'yang 畜养
'tiao'nong 调弄
'tiao'zhun 调准
'shuan'se 栓塞
'shen'jiao 审校
'xing'zeng 姓曾
'xing'shan 姓单
'xing'xie 姓解
'xing'chu 姓褚
'xing'qiu 姓仇
'xing'yue 姓乐
'xing'piao 姓朴
'po'dao 朴刀
'zhong'fan 重犯
'zheng'hang 整行
'chi'zhang 痴长
'ba'che 扒车
'shan'xue 删削
'jie'tiao 解调
'xia'zhao 吓着
'pan'jie 盘诘
'cu'zhong 粗重
'tiao'fang 调房
'shu'shei 属谁
'bi'yi 辟易
'zhao'huan 找还
'xian'mo 陷没
'bian'qia 边卡
'na'mo 南无
'jiao'wu 交恶
'kan'jiao 勘校
'gu'ren 贾人
'jing'jiao 精校
'mai'xie 卖解
'zan'zhi 拶指
'dai'wang 大王
'liao'liao 了了
'zhao'yang 朝阳
'yu'chi 尉迟
'bu'bao 不薄
'ji'fu 给付
'tiao'pei 调配
'ji'zai 系在
'lou'zhe 露着
'ma'shei 骂谁
'pao'luo 炮烙
'ke'dei 可得
'dan'hang 单行
'bi'xie 辟邪
'bao'qu 剥去
'ga'zhang 轧账
'ka'xue 咯血
'shei'zai 谁在
'wei'shei 为谁
'gei'shei 给谁
'shei'yao 谁要
'shei'ya 谁呀
'shei'jiao 谁叫
'bu'shi 布什
'xiang'shei 向谁
'yuan'shei 怨谁
'shei'hui 谁会
'shei'xiang 谁想
'shei'yu 谁与
'shei'rang 谁让
'shei'jia 谁家
'shei'kan 谁看
'gen'shei 跟谁
'shei'dui 谁对
'rang'shei 让谁
'shei'liao 谁料
'kan'shei 看谁
'guai'shei 怪谁
'lao'zeng 老曾
'xiao'piao 小朴
'ta'pian 拓片
'yan'xie 验血
'bu'de'liao 不得了
'bu'ting'de 不停地
'ming'ling'hang 命令行
'sui'yi'de 随意地
'shei'pa'shei 谁怕谁
'zhang'wei'ba 长尾巴
'mi'shu'zhang 秘书长
'dong'shi'zhang 董事长
'zhui'jian'pan 椎间盘
'li'shi'zhang 理事长
'bu'duan'de 不断地
'liao'bu'qi 了不起
'kai'hu'hang 开户行
'ren'wu'zhong 任务重
'man'man'de 慢慢地
'pai'mai'hang 拍卖行
'chai'lv'fei 差旅费
'wo'men'lia 我们俩
'liao'bu'de 了不得
'hua'er'zi 华尔兹
'niu'bu'guo 拗不过
'pi'zi'bao 匹兹堡
'e'pang'gong 阿房宫
'wei'yuan'zhang 委员长
'shen'qing'de 深情地
'jian'jian'de 渐渐地
'jian'cha'zhang 检察长
'wan'zheng'de 完整地
'jiao'xiang'yue 交响乐
'zhong'tou'xi 重头戏
'guo'zao'de 过早地
'jin'zhang'de 紧张地
'qing'xing'de 清醒地
'jing'jing'de 静静地
'du'jiang'yan 都江堰
'yao'gun'yue 摇滚乐
'zhen'cheng'de 真诚地
'xiang'xi'de 详细地
'tai'hang'shan 太行山
'jue'shi'yue 爵士乐
'shui'hu'zhuan 水浒传
'xie'lin'lin 血淋淋
'shou'de'liao 受得了
'zeng'zhi'wei 曾志伟
'jin'shen'de 谨慎地
'hu'shi'zhang 护士长
'zeng'guo'fan 曾国藩
'tan'gang'qin 弹钢琴
'zhong'gong'ye 重工业
'fu'dan'zhong 负担重
'pai'ji'pao 迫击炮
'jia'ping'wa 贾平凹
'suan'de'liao 算得了
'zhong'gan'qing 重感情
'zhong'gan'mao 重感冒
'shi'nei'yue 室内乐
'ji'xie'dai 系鞋带
'fei'chang'zhong 非常重
'ga'zhi'wo 胳肢窝
'huan'bu'qi 还不起
'tai'zi'shen 太子参
'zhong'ji'qiang 重机枪
'zhong'wu'qi 重武器
'ya'lu'jiang 鸭绿江
'jian'yu'zhang 监狱长
'lou'ma'jiao 露马脚
'lao'shi'zi 劳什子
'ye'shan'shen 野山参
'jian'dan'de 简单地
'si'wu'zhang 司务长
'dan'zi'zhong 担子重
'zha'liang'yong 查良镛
'shen'shen'de 深深地
'qing'qing'de 轻轻地
'qiao'qiao'de 悄悄地
'hen'hen'de 狠狠地
'cheng'gong'de 成功地
'mo'mo'de 默默地
'qing'xi'de 清晰地
'jin'jin'de 紧紧地
'you'xiao'de 有效地
'xing'fen'de 兴奋地
'wu'nai'de 无奈地
'xun'su'de 迅速地
'geng'duo'de 更多地
'can'mou'zhang 参谋长
'ji'dong'de 激动地
're'qing'de 热情地
'qing'song'de 轻松地
'wen'rou'de 温柔地
'nu'li'de 努力地
'yuan'yuan'de 远远地
'ming'xian'de 明显地
'huan'huan'de 缓缓地
'qing'yi'de 轻易地
'ji'ji'de 积极地
'shen'ke'de 深刻地
'zhun'que'de 准确地
'tong'ku'de 痛苦地
'bo'la'tu 柏拉图
'kai'xin'de 开心地
'hao'qi'de 好奇地
'qiao'miao'de 巧妙地
'zi'you'de 自由地
'da'da'de 大大地
'chi'jing'de 吃惊地
'yan'su'de 严肃地
'wan'mei'de 完美地
'ming'que'de 明确地
'lao'lao'de 牢牢地
'ji'shi'de 及时地
'wu'qing'de 无情地
'xiong'di'lia 兄弟俩
'chong'fen'de 充分地
'da'dan'de 大胆地
'leng'jing'de 冷静地
'che'di'de 彻底地
'zi'jue'de 自觉地
'you'li'de 有力地
'wei'wei'de 微微地
'xing'yun'de 幸运地
'zheng'que'de 正确地
'qin'qie'de 亲切地
'fang'bian'de 方便地
'bu'an'de 不安地
'fen'nu'de 愤怒地
'yu'kuai'de 愉快地
'bai'she'zhuan 白蛇传
'jian'jue'de 坚决地
'quan'mian'de 全面地
'gu'du'de 孤独地
'jiao'ao'de 骄傲地
'ke'guan'de 客观地
'jing'kong'de 惊恐地
'ken'ding'de 肯定地
'mang'mu'de 盲目地
'gong'jing'de 恭敬地
'he'li'de 合理地
'jian'qiang'de 坚强地
'gao'gao'de 高高地
'jin'qing'de 尽情地
'zhu'jian'de 逐渐地
'xi'xin'de 细心地
'zi'hao'de 自豪地
'shang'xin'de 伤心地
'jian'jie'de 间接地
'jin'mi'de 紧密地
'ren'wei'de 人为地
'ji'xie'de 机械地
'min'rui'de 敏锐地
'qi'fen'de 气愤地
'tan'lan'de 贪婪地
'fu'fu'lia 夫妇俩
'guo'duan'de 果断地
'chi'xu'de 持续地
'an'an'de 暗暗地
'zhi'jie'de 直接地
'zhong'xin'de 衷心地
'tan'ji'ta 弹吉他
'shen'pan'zhang 审判长
'wan'quan'de 完全地
'tong'kuai'de 痛快地
'wen'ding'de 稳定地
'bai'bai'de 白白地
'tong'yang'de 同样地
'ju'sang'de 沮丧地
'meng'lie'de 猛烈地
'hu'luan'de 胡乱地
'yan'li'de 严厉地
'fang'si'de 放肆地
'cu'bao'de 粗暴地
'yan'ge'de 严格地
'ling'huo'de 灵活地
'qing'ping'yue 清平乐
'jia'li'lue 伽利略
'jing'que'de 精确地
'jing'yi'de 惊异地
'xi'guan'de 习惯地
'guan'qie'de 关切地
'zhi'guan'de 直观地
're'qie'de 热切地
'zhang'jian'shi 长见识
'leng'mo'de 冷漠地
'bao'qian'de 抱歉地
'bi'zhi'de 笔直地
'man'man'de 满满地
'man'zu'de 满足地
'cong'mang'de 匆忙地
'shui'shou'zhang 水手长
'shun'cong'de 顺从地
'hao'yi'de 好意地
're'xin'de 热心地
'xiang'fan'de 相反地
'wei'nan'de 为难地
'lou'yi'shou 露一手
'zang'hong'hua 藏红花
'jing'chang'de 经常地
'xian'mu'de 羡慕地
'niang'er'lia 娘儿俩
'nan'guo'de 难过地
'di'diao'de 低调地
'han'xu'de 含蓄地
'cu'lue'de 粗略地
'di'sheng'de 低声地
'pian'mian'de 片面地
'qie'shi'de 切实地
'wu'chi'de 无耻地
'ou'ran'de 偶然地
'jia'bei'de 加倍地
'ling'qiao'de 灵巧地
'yi'zhi'de 一致地
'kuai'huo'de 快活地
'bian'zheng'de 辩证地
'zhen'jing'de 镇静地
'zhang'yi'zhi 长一智
'ken'qie'de 恳切地
'gu'yi'de 故意地
'tuo'shan'de 妥善地
'chen'tong'de 沉痛地
'xiu'qie'de 羞怯地
'gu'ding'de 固定地
